Tekla Structures MATERIAL LIST - Load into a specific Excel file - DO NOT CHANGE THIS LINE!

Project number:     ;
Project name:       ;
Project address:    ;
                    ;
                    ;
Date:               ;17.11.2025

Profile                       ;Material            ; NUM ;Length [mm];Length sum;Weight[kg];Weight sum; Area [m2];  Area sum;
HEA450                        ;S235JR              ;  1  ;       2657;      2657;     371.2;     371.2;      5.34;      5.34;
HEA450                        ;S235JR              ;  1  ;       2676;      2676;     373.9;     373.9;      5.38;      5.38;
HEA450                        ;S235JR              ;  1  ;       8170;      8170;    1141.6;    1141.6;     16.43;     16.43;
HEA450                        ;S235JR              ;  1  ;       8172;      8172;    1141.9;    1141.9;     16.43;     16.43;
Sub total, HEA450                                ; ;     ;           ;     21674;          ;    3028.5;          ;     43.59;
IPE160                        ;S235JR              ;  2  ;        309;       619;       4.9;       9.8;      0.19;      0.39;
IPE160                        ;S235JR              ;  4  ;        313;      1254;       4.9;      19.8;      0.20;      0.78;
IPE160                        ;S235JR              ; 13  ;        388;      5048;       6.1;      79.6;      0.24;      3.15;
IPE160                        ;S235JR              ;  7  ;        512;      3582;       8.1;      56.5;      0.32;      2.23;
IPE160                        ;S235JR              ;  7  ;        517;      3617;       8.1;      57.0;      0.32;      2.25;
Sub total, IPE160                                ; ;     ;           ;     14119;          ;     222.7;          ;      8.80;
IPE240                        ;S235JR              ;  2  ;       6186;     12371;     189.8;     379.6;      5.70;     11.41;
IPE240                        ;S235JR              ;  1  ;       6189;      6189;     189.9;     189.9;      5.71;      5.71;
IPE240                        ;S235JR              ;  1  ;       6258;      6258;     192.0;     192.0;      5.77;      5.77;
IPE240                        ;S235JR              ;  1  ;       6271;      6271;     192.4;     192.4;      5.78;      5.78;
IPE240                        ;S235JR              ;  1  ;       6283;      6283;     192.8;     192.8;      5.79;      5.79;
IPE240                        ;S235JR              ;  3  ;       6296;     18889;     193.2;     579.6;      5.81;     17.42;
IPE240                        ;S235JR              ;  1  ;       6417;      6417;     196.9;     196.9;      5.92;      5.92;
IPE240                        ;S235JR              ;  1  ;       6457;      6457;     198.1;     198.1;      5.95;      5.95;
IPE240                        ;S235JR              ;  1  ;       6592;      6592;     202.3;     202.3;      6.08;      6.08;
IPE240                        ;S235JR              ;  1  ;       6619;      6619;     203.1;     203.1;      6.10;      6.10;
IPE240                        ;S235JR              ;  1  ;       6770;      6770;     207.7;     207.7;      6.24;      6.24;
IPE240                        ;S235JR              ;  1  ;       6781;      6781;     208.1;     208.1;      6.25;      6.25;
IPE240                        ;S235JR              ;  1  ;       6838;      6838;     209.8;     209.8;      6.30;      6.30;
Sub total, IPE240                                ; ;     ;           ;    102736;          ;    3152.5;          ;     94.72;
IPE300                        ;S235JR              ;  1  ;       8177;      8177;     345.4;     345.4;      9.48;      9.48;
IPE300                        ;S235JR              ;  1  ;       8338;      8338;     352.2;     352.2;      9.66;      9.66;
IPE300                        ;S235JR              ;  1  ;       8363;      8363;     353.2;     353.2;      9.69;      9.69;
IPE300                        ;S235JR              ;  1  ;       8501;      8501;     359.0;     359.0;      9.85;      9.85;
IPE300                        ;S235JR              ;  1  ;       8551;      8551;     361.1;     361.1;      9.91;      9.91;
IPE300                        ;S235JR              ;  1  ;       8663;      8663;     365.9;     365.9;     10.04;     10.04;
IPE300                        ;S235JR              ;  1  ;       8739;      8739;     369.1;     369.1;     10.13;     10.13;
IPE300                        ;S235JR              ;  1  ;       8827;      8827;     372.8;     372.8;     10.23;     10.23;
Sub total, IPE300                                ; ;     ;           ;     68160;          ;    2878.6;          ;     79.00;
IPE450                        ;S235JR              ;  2  ;       2402;      4804;     186.3;     372.6;      3.86;      7.71;
IPE450                        ;S235JR              ;  1  ;       6607;      6607;     512.4;     512.4;     10.60;     10.60;
IPE450                        ;S235JR              ;  1  ;       6610;      6610;     512.7;     512.7;     10.61;     10.61;
IPE450                        ;S235JR              ;  1  ;       8068;      8068;     625.8;     625.8;     12.95;     12.95;
IPE450                        ;S235JR              ;  1  ;       8500;      8500;     659.2;     659.2;     13.64;     13.64;
IPE450                        ;S235JR              ;  1  ;       8832;      8832;     685.0;     685.0;     14.17;     14.17;
Sub total, IPE450                                ; ;     ;           ;     43422;          ;    3367.7;          ;     69.69;
UPN160                        ;S235JR              ;  1  ;      23367;     23367;     440.2;     440.2;     12.85;     12.85;
Sub total, UPN160                                ; ;     ;           ;     23367;          ;     440.2;          ;     12.85;
Ø305*10                       ;S235JR              ;  4  ;       5436;     21744;     392.9;    1571.8;      5.21;     20.84;
Sub total, Ø305*10                               ; ;     ;           ;     21744;          ;    1571.8;          ;     20.84;
Ø406*12                       ;S235JR              ;  4  ;      15136;     60544;    1755.9;    7023.6;     19.30;     77.19;
Sub total, Ø406*12                               ; ;     ;           ;     60544;          ;    7023.6;          ;     77.19;
Total:                        ;                    ;     ;           ;          ;          ;   21685.6;          ;    406.67;
