Tekla Structures MATERIAL LIST - Load into a specific Excel file - DO NOT CHANGE THIS LINE!

Project number:     ;
Project name:       ;
Project address:    ;
                    ;
                    ;
Date:               ;17.11.2025

Profile                       ;Material            ; NUM ;Length [mm];Length sum;Weight[kg];Weight sum; Area [m2];  Area sum;
HEA450                        ;S235JR              ;  1  ;        887;       887;     123.9;     123.9;      1.78;      1.78;
HEA450                        ;S235JR              ;  1  ;       1165;      1165;     162.8;     162.8;      2.34;      2.34;
HEA450                        ;S235JR              ;  1  ;       1607;      1607;     224.5;     224.5;      3.23;      3.23;
HEA450                        ;S235JR              ;  1  ;       2615;      2615;     365.4;     365.4;      5.26;      5.26;
HEA450                        ;S235JR              ;  1  ;       2622;      2622;     366.4;     366.4;      5.27;      5.27;
HEA450                        ;S235JR              ;  1  ;       2657;      2657;     371.2;     371.2;      5.34;      5.34;
HEA450                        ;S235JR              ;  1  ;       2676;      2676;     373.9;     373.9;      5.38;      5.38;
HEA450                        ;S235JR              ;  1  ;       2826;      2826;     394.9;     394.9;      5.68;      5.68;
HEA450                        ;S235JR              ;  1  ;       2833;      2833;     395.8;     395.8;      5.70;      5.70;
HEA450                        ;S235JR              ;  1  ;       4636;      4636;     647.8;     647.8;      9.32;      9.32;
HEA450                        ;S235JR              ;  1  ;       5078;      5078;     709.5;     709.5;     10.21;     10.21;
HEA450                        ;S235JR              ;  1  ;       5084;      5084;     710.4;     710.4;     10.22;     10.22;
HEA450                        ;S235JR              ;  1  ;       6197;      6197;     865.9;     865.9;     12.46;     12.46;
HEA450                        ;S235JR              ;  1  ;       6502;      6502;     908.5;     908.5;     13.07;     13.07;
HEA450                        ;S235JR              ;  1  ;       6801;      6801;     950.3;     950.3;     13.68;     13.68;
HEA450                        ;S235JR              ;  1  ;       7139;      7139;     997.6;     997.6;     14.36;     14.36;
HEA450                        ;S235JR              ;  1  ;       7140;      7140;     997.6;     997.6;     14.36;     14.36;
HEA450                        ;S235JR              ;  1  ;       7587;      7587;    1060.2;    1060.2;     15.26;     15.26;
HEA450                        ;S235JR              ;  1  ;       8088;      8088;    1130.2;    1130.2;     16.27;     16.27;
HEA450                        ;S235JR              ;  1  ;       8103;      8103;    1132.2;    1132.2;     16.30;     16.30;
HEA450                        ;S235JR              ;  1  ;       8133;      8133;    1136.4;    1136.4;     16.35;     16.35;
HEA450                        ;S235JR              ;  1  ;       8170;      8170;    1141.6;    1141.6;     16.43;     16.43;
HEA450                        ;S235JR              ;  1  ;       8172;      8172;    1141.9;    1141.9;     16.43;     16.43;
HEA450                        ;S235JR              ;  1  ;       8178;      8178;    1142.8;    1142.8;     16.45;     16.45;
HEA450                        ;S235JR              ;  1  ;       8334;      8334;    1164.6;    1164.6;     16.76;     16.76;
HEA450                        ;S235JR              ;  1  ;       8352;      8352;    1167.0;    1167.0;     16.80;     16.80;
HEA450                        ;S235JR              ;  1  ;       8760;      8760;    1224.0;    1224.0;     17.62;     17.62;
HEA450                        ;S235JR              ;  1  ;       9255;      9255;    1293.2;    1293.2;     18.61;     18.61;
HEA450                        ;S235JR              ;  1  ;       9268;      9268;    1295.1;    1295.1;     18.64;     18.64;
HEA450                        ;S235JR              ;  1  ;      16624;     16624;    2322.9;    2322.9;     33.43;     33.43;
HEA450                        ;S235JR              ;  1  ;      16680;     16680;    2330.7;    2330.7;     33.54;     33.54;
HEA450                        ;S235JR              ;  1  ;      16700;     16700;    2333.5;    2333.5;     33.58;     33.58;
Sub total, HEA450                                ; ;     ;           ;    218868;          ;   30582.5;          ;    440.14;
IPE160                        ;S235JR              ;  1  ;        264;       264;       4.2;       4.2;      0.16;      0.16;
IPE160                        ;S235JR              ;  3  ;        308;       924;       4.9;      14.6;      0.19;      0.58;
IPE160                        ;S235JR              ;  2  ;        309;       619;       4.9;       9.8;      0.19;      0.39;
IPE160                        ;S235JR              ;  1  ;        311;       311;       4.9;       4.9;      0.19;      0.19;
IPE160                        ;S235JR              ;  1  ;        312;       312;       4.9;       4.9;      0.19;      0.19;
IPE160                        ;S235JR              ;  5  ;        313;      1567;       4.9;      24.7;      0.20;      0.98;
IPE160                        ;S235JR              ;  4  ;        323;      1292;       5.1;      20.4;      0.20;      0.81;
IPE160                        ;S235JR              ;  1  ;        333;       333;       5.2;       5.2;      0.21;      0.21;
IPE160                        ;S235JR              ;  1  ;        373;       373;       5.9;       5.9;      0.23;      0.23;
IPE160                        ;S235JR              ; 13  ;        388;      5048;       6.1;      79.6;      0.24;      3.15;
IPE160                        ;S235JR              ;  1  ;        390;       390;       6.2;       6.2;      0.24;      0.24;
IPE160                        ;S235JR              ;  2  ;        391;       782;       6.2;      12.3;      0.24;      0.49;
IPE160                        ;S235JR              ;  1  ;        392;       392;       6.2;       6.2;      0.24;      0.24;
IPE160                        ;S235JR              ;  6  ;        398;      2390;       6.3;      37.7;      0.25;      1.49;
IPE160                        ;S235JR              ; 32  ;        512;     16374;       8.1;     258.2;      0.32;     10.20;
IPE160                        ;S235JR              ; 32  ;        517;     16534;       8.1;     260.7;      0.32;     10.30;
Sub total, IPE160                                ; ;     ;           ;     47906;          ;     755.5;          ;     29.85;
IPE240                        ;S235JR              ;  1  ;        840;       840;      25.8;      25.8;      0.77;      0.77;
IPE240                        ;S235JR              ;  3  ;        845;      2535;      25.9;      77.8;      0.78;      2.34;
IPE240                        ;S235JR              ;  1  ;        848;       848;      26.0;      26.0;      0.78;      0.78;
IPE240                        ;S235JR              ;  1  ;        880;       880;      27.0;      27.0;      0.81;      0.81;
IPE240                        ;S235JR              ;  1  ;       1559;      1559;      47.8;      47.8;      1.44;      1.44;
IPE240                        ;S235JR              ;  1  ;       1619;      1619;      49.7;      49.7;      1.49;      1.49;
IPE240                        ;S235JR              ;  2  ;       1626;      3253;      49.9;      99.8;      1.50;      3.00;
IPE240                        ;S235JR              ;  1  ;       1942;      1942;      59.6;      59.6;      1.79;      1.79;
IPE240                        ;S235JR              ;  2  ;       2110;      4220;      64.7;     129.5;      1.95;      3.89;
IPE240                        ;S235JR              ;  2  ;       2222;      4444;      68.2;     136.4;      2.05;      4.10;
IPE240                        ;S235JR              ;  2  ;       2237;      4475;      68.7;     137.3;      2.06;      4.13;
IPE240                        ;S235JR              ;  1  ;       2790;      2790;      85.6;      85.6;      2.57;      2.57;
IPE240                        ;S235JR              ;  2  ;       2874;      5749;      88.2;     176.4;      2.65;      5.30;
IPE240                        ;S235JR              ;  1  ;       3256;      3256;      99.9;      99.9;      3.00;      3.00;
IPE240                        ;S235JR              ;  1  ;       3257;      3257;      99.9;      99.9;      3.00;      3.00;
IPE240                        ;S235JR              ;  1  ;       4097;      4097;     125.7;     125.7;      3.78;      3.78;
IPE240                        ;S235JR              ;  1  ;       4144;      4144;     127.2;     127.2;      3.82;      3.82;
IPE240                        ;S235JR              ;  2  ;       4190;      8380;     128.6;     257.2;      3.86;      7.73;
IPE240                        ;S235JR              ;  4  ;       4249;     16997;     130.4;     521.6;      3.92;     15.67;
IPE240                        ;S235JR              ;  1  ;       4349;      4349;     133.5;     133.5;      4.01;      4.01;
IPE240                        ;S235JR              ;  2  ;       4366;      8733;     134.0;     268.0;      4.03;      8.05;
IPE240                        ;S235JR              ;  2  ;       4487;      8974;     137.7;     275.4;      4.14;      8.27;
IPE240                        ;S235JR              ;  1  ;       4586;      4586;     140.7;     140.7;      4.23;      4.23;
IPE240                        ;S235JR              ;  1  ;       4607;      4607;     141.4;     141.4;      4.25;      4.25;
IPE240                        ;S235JR              ;  1  ;       4608;      4608;     141.4;     141.4;      4.25;      4.25;
IPE240                        ;S235JR              ;  1  ;       4849;      4849;     148.8;     148.8;      4.47;      4.47;
IPE240                        ;S235JR              ;  1  ;       4850;      4850;     148.8;     148.8;      4.47;      4.47;
IPE240                        ;S235JR              ;  1  ;       4947;      4947;     151.8;     151.8;      4.56;      4.56;
IPE240                        ;S235JR              ;  1  ;       4971;      4971;     152.5;     152.5;      4.58;      4.58;
